ID,Data Center,App,Entry Time,WAN Duration
478,DC1,SES,1510599139267,215
484,DC1,SES,1510599139275,207
489,DC1,SES,1510599139278,204
491,DC1,SES,1510599139280,203
496,DC1,SES,1510599139282,201
490,DC1,SES,1510599139279,205
501,DC1,SES,1510599139286,198
506,DC1,SES,1510599139290,194
500,DC1,SES,1510599139285,200
513,DC1,SES,1510599139298,187
518,DC1,SES,1510599139300,185
512,DC1,SES,1510599139297,189
525,DC1,SES,1510599139304,182
531,DC1,SES,1510599139308,178
524,DC1,SES,1510599139304,183
537,DC1,SES,1510599139311,176
536,DC1,SES,1510599139311,176
549,DC1,SES,1510599139318,170
543,DC1,SES,1510599139315,173
548,DC1,SES,1510599139317,171
550,DC1,SES,1510599139318,171
555,DC1,SES,1510599139321,168
561,DC1,SES,1510599139324,166
562,DC1,SES,1510599139325,165
567,DC1,SES,1510599139329,161
573,DC1,SES,1510599139334,157
574,DC1,SES,1510599139335,156
579,DC1,SES,1510599139338,153
585,DC1,SES,1510599139343,149
586,DC1,SES,1510599139344,148
580,DC1,SES,1510599139339,153
597,DC1,SES,1510599139351,143
598,DC1,SES,1510599139352,142
592,DC1,SES,1510599139348,146
607,DC1,SES,1510599139362,133
608,DC1,SES,1510599139365,130
602,DC1,SES,1510599139354,142
619,DC1,SES,1510599139385,111
621,DC1,SES,1510599139388,108
614,DC1,SES,1510599139375,122
620,DC1,SES,1510599139386,111
633,DC1,SES,1510599139402,96
626,DC1,SES,1510599139395,103
632,DC1,SES,1510599139400,98
645,DC1,SES,1510599139413,86
638,DC1,SES,1510599139407,92
644,DC1,SES,1510599139412,88
657,DC1,SES,1510599139423,77
651,DC1,SES,1510599139418,82
656,DC1,SES,1510599139422,79
669,DC1,SES,1510599139432,69
663,DC1,SES,1510599139427,74
668,DC1,SES,1510599139431,71
670,DC1,SES,1510599139433,69
675,DC1,SES,1510599139437,65
681,DC1,SES,1510599139440,63
682,DC1,SES,1510599139440,63
687,DC1,SES,1510599139443,60
693,DC1,SES,1510599139446,58
694,DC1,SES,1510599139447,57
699,DC1,SES,1510599139450,54
703,DC1,SES,1510599139452,53
704,DC1,SES,1510599139453,52
709,DC1,SES,1510599139455,50
715,DC1,SES,1510599139458,47
716,DC1,SES,1510599139459,47
710,DC1,SES,1510599139456,50
727,DC1,SES,1510599139464,42
728,DC1,SES,1510599139464,43
722,DC1,SES,1510599139462,45
557,DC1,SES,1510599139322,1032
552,DC1,SES,1510599139319,1035
569,DC1,SES,1510599139331,1023
564,DC1,SES,1510599139326,1028
570,DC1,SES,1510599139331,1023
576,DC1,SES,1510599139336,1018
582,DC1,SES,1510599139341,1014
588,DC1,SES,1510599139345,1010
594,DC1,SES,1510599139349,1006
611,DC1,SES,1510599139367,988
604,DC1,SES,1510599139357,998
623,DC1,SES,1510599139391,964
616,DC1,SES,1510599139378,977
635,DC1,SES,1510599139404,951
628,DC1,SES,1510599139396,959
647,DC1,SES,1510599139415,940
641,DC1,SES,1510599139409,947
659,DC1,SES,1510599139424,932
653,DC1,SES,1510599139420,936
660,DC1,SES,1510599139425,931
665,DC1,SES,1510599139428,928
672,DC1,SES,1510599139435,921
677,DC1,SES,1510599139438,918
684,DC1,SES,1510599139441,915
689,DC1,SES,1510599139444,912
696,DC1,SES,1510599139448,908
690,DC1,SES,1510599139445,912
706,DC1,SES,1510599139454,903
700,DC1,SES,1510599139450,907
718,DC1,SES,1510599139460,897
712,DC1,SES,1510599139457,900
731,DC1,SES,1510599139466,891
724,DC1,SES,1510599139463,894
743,DC1,SES,1510599139473,884
736,DC1,SES,1510599139469,888
755,DC1,SES,1510599139481,876
748,DC1,SES,1510599139476,881
767,DC1,SES,1510599139494,864
761,DC1,SES,1510599139485,873
779,DC1,SES,1510599139505,853
773,DC1,SES,1510599139500,858
780,DC1,SES,1510599139505,853
785,DC1,SES,1510599139508,850
792,DC1,SES,1510599139512,846
797,DC1,SES,1510599139515,843
802,DC1,SES,1510599139517,841
807,DC1,SES,1510599139519,839
814,DC1,SES,1510599139522,837
819,DC1,SES,1510599139524,835
826,DC1,SES,1510599139527,832
820,DC1,SES,1510599139525,834
838,DC1,SES,1510599139533,826
832,DC1,SES,1510599139530,829
851,DC1,SES,1510599139542,817
844,DC1,SES,1510599139538,821
863,DC1,SES,1510599139548,811
856,DC1,SES,1510599139545,814
875,DC1,SES,1510599139553,807
868,DC1,SES,1510599139550,810
887,DC1,SES,1510599139559,801
881,DC1,SES,1510599139556,804
899,DC1,SES,1510599139568,792
893,DC1,SES,1510599139564,796
909,DC1,SES,1510599139574,786
903,DC1,SES,1510599139570,790
910,DC1,SES,1510599139574,786
915,DC1,SES,1510599139578,782
922,DC1,SES,1510599139582,779
927,DC1,SES,1510599139586,775
934,DC1,SES,1510599139591,770
939,DC1,SES,1510599139595,766
946,DC1,SES,1510599139598,763
940,DC1,SES,1510599139595,766
958,DC1,SES,1510599139604,757
952,DC1,SES,1510599139601,760
971,DC1,SES,1510599139609,752
964,DC1,SES,1510599139606,755
983,DC1,SES,1510599139615,746
976,DC1,SES,1510599139612,749
995,DC1,SES,1510599139619,743
988,DC1,SES,1510599139617,745
553,DC1,SES,1510599139320,1043
558,DC1,SES,1510599139322,1041
565,DC1,SES,1510599139327,1036
571,DC1,SES,1510599139332,1031
577,DC1,SES,1510599139337,1027
583,DC1,SES,1510599139341,1023
589,DC1,SES,1510599139346,1018
595,DC1,SES,1510599139350,1014
590,DC1,SES,1510599139346,1018
605,DC1,SES,1510599139359,1005
600,DC1,SES,1510599139353,1011
617,DC1,SES,1510599139379,985
612,DC1,SES,1510599139368,996
629,DC1,SES,1510599139397,967
624,DC1,SES,1510599139392,973
630,DC1,SES,1510599139398,967
636,DC1,SES,1510599139405,960
642,DC1,SES,1510599139410,955
648,DC1,SES,1510599139416,949
654,DC1,SES,1510599139421,944
661,DC1,SES,1510599139425,940
666,DC1,SES,1510599139429,936
673,DC1,SES,1510599139435,930
678,DC1,SES,1510599139438,928
685,DC1,SES,1510599139442,924
691,DC1,SES,1510599139445,921
697,DC1,SES,1510599139448,918
701,DC1,SES,1510599139451,915
707,DC1,SES,1510599139454,912
713,DC1,SES,1510599139457,909
719,DC1,SES,1510599139460,906
725,DC1,SES,1510599139463,903
720,DC1,SES,1510599139461,906
737,DC1,SES,1510599139469,898
732,DC1,SES,1510599139466,901
749,DC1,SES,1510599139477,890
744,DC1,SES,1510599139473,894
750,DC1,SES,1510599139478,889
756,DC1,SES,1510599139481,886
762,DC1,SES,1510599139486,881
768,DC1,SES,1510599139495,872
774,DC1,SES,1510599139501,866
781,DC1,SES,1510599139506,861
786,DC1,SES,1510599139509,859
793,DC1,SES,1510599139513,855
798,DC1,SES,1510599139515,853
